doc_id_1,doc_id_2,distance,author_1,short_name_1,author_2,short_name_2,comparison_type,author_pair
OC-3,OC-5,8.649154492994322,Oliver Cowdery,OC-3,Oliver Cowdery,OC-5,within_author,Oliver Cowdery
OC-4,OC-5,6.709880439669464,Oliver Cowdery,OC-4,Oliver Cowdery,OC-5,within_author,Oliver Cowdery
OC-10,OC-5,13.595018311796931,Oliver Cowdery,OC-10,Oliver Cowdery,OC-5,within_author,Oliver Cowdery
OC-11,OC-5,9.162311670075605,Oliver Cowdery,OC-11,Oliver Cowdery,OC-5,within_author,Oliver Cowdery
OC-12,OC-5,13.502982351260222,Oliver Cowdery,OC-12,Oliver Cowdery,OC-5,within_author,Oliver Cowdery
OC-13,OC-5,14.011214494578892,Oliver Cowdery,OC-13,Oliver Cowdery,OC-5,within_author,Oliver Cowdery
OC-14,OC-5,10.623053546078095,Oliver Cowdery,OC-14,Oliver Cowdery,OC-5,within_author,Oliver Cowdery
OC-15,OC-5,19.441905458363248,Oliver Cowdery,OC-15,Oliver Cowdery,OC-5,within_author,Oliver Cowdery
OC-16,OC-5,11.957813557708189,Oliver Cowdery,OC-16,Oliver Cowdery,OC-5,within_author,Oliver Cowdery
JS-1,OC-6,8.389936858323265,Joseph Smith,JS-1,Oliver Cowdery,OC-6,between_author,Joseph Smith / Oliver Cowdery
JS-2,OC-6,14.68020611396014,Joseph Smith,JS-2,Oliver Cowdery,OC-6,between_author,Joseph Smith / Oliver Cowdery
JS-3,OC-6,11.041903848516002,Joseph Smith,JS-3,Oliver Cowdery,OC-6,between_author,Joseph Smith / Oliver Cowdery
JS-4,OC-6,13.664415097553034,Joseph Smith,JS-4,Oliver Cowdery,OC-6,between_author,Joseph Smith / Oliver Cowdery
JS-5,OC-6,8.864087915005413,Joseph Smith,JS-5,Oliver Cowdery,OC-6,between_author,Joseph Smith / Oliver Cowdery
JS-6,OC-6,16.57409266150844,Joseph Smith,JS-6,Oliver Cowdery,OC-6,between_author,Joseph Smith / Oliver Cowdery
JS-7,OC-6,10.737175540881392,Joseph Smith,JS-7,Oliver Cowdery,OC-6,between_author,Joseph Smith / Oliver Cowdery
JS-8,OC-6,14.362670725661692,Joseph Smith,JS-8,Oliver Cowdery,OC-6,between_author,Joseph Smith / Oliver Cowdery
JS-9,OC-6,11.847829144376744,Joseph Smith,JS-9,Oliver Cowdery,OC-6,between_author,Joseph Smith / Oliver Cowdery
JS-10,OC-6,15.726875044629923,Joseph Smith,JS-10,Oliver Cowdery,OC-6,between_author,Joseph Smith / Oliver Cowdery
JS-11,OC-6,16.058022548893945,Joseph Smith,JS-11,Oliver Cowdery,OC-6,between_author,Joseph Smith / Oliver Cowdery
JS-12,OC-6,13.089016051901956,Joseph Smith,JS-12,Oliver Cowdery,OC-6,between_author,Joseph Smith / Oliver Cowdery
JS-13,OC-6,13.810516285879466,Joseph Smith,JS-13,Oliver Cowdery,OC-6,between_author,Joseph Smith / Oliver Cowdery
JS-14,OC-6,10.666206428894256,Joseph Smith,JS-14,Oliver Cowdery,OC-6,between_author,Joseph Smith / Oliver Cowdery
OC-1,OC-6,9.655705205622764,Oliver Cowdery,OC-1,Oliver Cowdery,OC-6,within_author,Oliver Cowdery
OC-2,OC-6,8.376245646986446,Oliver Cowdery,OC-2,Oliver Cowdery,OC-6,within_author,Oliver Cowdery
OC-3,OC-6,10.469792340238905,Oliver Cowdery,OC-3,Oliver Cowdery,OC-6,within_author,Oliver Cowdery
OC-4,OC-6,8.324220607708565,Oliver Cowdery,OC-4,Oliver Cowdery,OC-6,within_author,Oliver Cowdery
OC-5,OC-6,5.790065426556234,Oliver Cowdery,OC-5,Oliver Cowdery,OC-6,within_author,Oliver Cowdery
OC-10,OC-6,12.836728986754093,Oliver Cowdery,OC-10,Oliver Cowdery,OC-6,within_author,Oliver Cowdery
OC-11,OC-6,10.520337929782075,Oliver Cowdery,OC-11,Oliver Cowdery,OC-6,within_author,Oliver Cowdery
OC-12,OC-6,14.563257747751782,Oliver Cowdery,OC-12,Oliver Cowdery,OC-6,within_author,Oliver Cowdery
OC-13,OC-6,14.552595189777694,Oliver Cowdery,OC-13,Oliver Cowdery,OC-6,within_author,Oliver Cowdery
OC-14,OC-6,11.259626303265891,Oliver Cowdery,OC-14,Oliver Cowdery,OC-6,within_author,Oliver Cowdery
