page_order,chapter,website_section_id,section_numbers,chapter_title,source_url,cache_path,n_verses,min_verse,max_verse,n_words
88,93,93,93,Section 93 (1835 Doctrine and Covenants),https://doctrineandcovenants.com/sections/1835dcs/section-93/,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_93.html,12,1,12,1329
89,94,94,94,Section 94 (1835 Doctrine and Covenants),https://doctrineandcovenants.com/sections/1835dcs/section-94/,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_94.html,5,1,5,474
90,95,95,95,Section 95 (1835 Doctrine and Covenants),https://doctrineandcovenants.com/sections/1835dcs/section-95/,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_95.html,3,1,3,532
91,96,96,96,Section 96 (1835 Doctrine and Covenants),https://doctrineandcovenants.com/sections/1835dcs/section-96/,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_96.html,2,1,2,302
92,97,97,97,Section 97 (1835 Doctrine and Covenants),https://doctrineandcovenants.com/sections/1835dcs/section-97/,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_97.html,6,1,6,854
93,98,98,98,Section 98 (1835 Doctrine and Covenant),https://doctrineandcovenants.com/sections/1835dcs/section-98/,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_98.html,7,1,7,1388
94,99,99,99,Section 99 (1835 Doctrine and Covenants),https://doctrineandcovenants.com/sections/1835dcs/section-99/,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_99.html,2,1,2,221
95,100,100,100,Section 100 (1835 Doctrine and Covenants),https://doctrineandcovenants.com/sections/1835dcs/section-100/,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_100.html,4,1,4,442
96,101,101,101,Section 101 (1835 Doctrine and Covenants),https://doctrineandcovenants.com/sections/1835dcs/section-101/,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_101.html,13,1,13,2714
97,102,102,102,Section 102 (1835 Doctrine and Covenants),https://doctrineandcovenants.com/sections/1835dcs/section-102/,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_102.html,15,1,15,1271
