page_order,source_url,website_section_id,section_numbers,chapter,cache_path,ok,file_size
84,https://doctrineandcovenants.com/sections/1835dcs/section-89/,89,89,89,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_89.html,TRUE,128022
85,https://doctrineandcovenants.com/sections/1835dcs/section-90/,90,90,90,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_90.html,TRUE,131390
86,https://doctrineandcovenants.com/sections/1835dcs/section-91/,91,91,91,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_91.html,TRUE,125932
87,https://doctrineandcovenants.com/sections/1835dcs/section-92/,92,92,92,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_92.html,TRUE,125840
88,https://doctrineandcovenants.com/sections/1835dcs/section-93/,93,93,93,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_93.html,TRUE,133010
89,https://doctrineandcovenants.com/sections/1835dcs/section-94/,94,94,94,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_94.html,TRUE,128086
90,https://doctrineandcovenants.com/sections/1835dcs/section-95/,95,95,95,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_95.html,TRUE,128206
91,https://doctrineandcovenants.com/sections/1835dcs/section-96/,96,96,96,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_96.html,TRUE,127069
92,https://doctrineandcovenants.com/sections/1835dcs/section-97/,97,97,97,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_97.html,TRUE,130127
93,https://doctrineandcovenants.com/sections/1835dcs/section-98/,98,98,98,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_98.html,TRUE,133428
94,https://doctrineandcovenants.com/sections/1835dcs/section-99/,99,99,99,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_99.html,TRUE,126621
95,https://doctrineandcovenants.com/sections/1835dcs/section-100/,100,100,100,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_100.html,TRUE,127955
96,https://doctrineandcovenants.com/sections/1835dcs/section-101/,101,101,101,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_101.html,TRUE,140799
97,https://doctrineandcovenants.com/sections/1835dcs/section-102/,102,102,102,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_102.html,TRUE,133777
98,https://doctrineandcovenants.com/sections/1835dcs/section-103/,103,103,103,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_103.html,TRUE,131991
99,https://doctrineandcovenants.com/sections/1835dcs/section-104/,104,104,104,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_104.html,TRUE,139903
100,https://doctrineandcovenants.com/sections/1835dcs/section-105/,105,105,105,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_105.html,TRUE,132840
101,https://doctrineandcovenants.com/sections/1835dcs/section-106/,106,106,106,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_106.html,TRUE,126828
102,https://doctrineandcovenants.com/sections/1835dcs/section-107/,107,107,107,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_107.html,TRUE,145130
103,https://doctrineandcovenants.com/sections/1835dcs/sections-108-109-110-111-112/,108-109-110-111-112,"108,109,110,111,112",108,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_108-109-110-111-112.html,TRUE,132249
104,https://doctrineandcovenants.com/sections/1835dcs/sections-113-114-115-116-117-118-119/,113-114-115-116-117-118-119,"113,114,115,116,117,118,119",113,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_113-114-115-116-117-118-119.html,TRUE,127262
105,https://doctrineandcovenants.com/sections/1835dcs/sections-120-121-122-123-124/,120-121-122-123-124,"120,121,122,123,124",120,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_120-121-122-123-124.html,TRUE,158246
106,https://doctrineandcovenants.com/sections/1835dcs/sections-125-126-127/,125-126-127,"125,126,127",125,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_125-126-127.html,TRUE,129968
107,https://doctrineandcovenants.com/sections/1835dcs/section-128/,128,128,128,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_128.html,TRUE,140599
108,https://doctrineandcovenants.com/sections/1835dcs/sections-129-130-131-132-133/,129-130-131-132-133,"129,130,131,132,133",129,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_129-130-131-132-133.html,TRUE,136740
109,https://doctrineandcovenants.com/sections/1835dcs/section-134/,134,134,134,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_134.html,TRUE,127060
