doc_id,neighbor_doc_id,similarity,rank
Isaiah_25,Hosea,0.6113022196205695,6
Isaiah_25,Amos,0.6088040555163358,7
Isaiah_25,Isaiah_36_39,0.6021535365176445,8
Isaiah_25,Psalms,0.6010378005003714,9
Isaiah_25,1 Kings,0.5859947834639335,10
Isaiah_26,Isaiah_1_35,0.6645603224521088,1
Isaiah_26,Psalms,0.6578346107068905,2
Isaiah_26,Isaiah_56_66,0.6473098603758081,3
Isaiah_26,Isaiah_40_55,0.6392943884304915,4
Isaiah_26,Jeremiah,0.6225725680075588,5
Isaiah_26,Hosea,0.620854186525199,6
Isaiah_26,Ezekiel,0.6152909084788204,7
Isaiah_26,Job,0.6053422559924663,8
Isaiah_26,Proverbs,0.5960546255203639,9
Isaiah_26,Amos,0.5943014630670563,10
Isaiah_27,Isaiah_1_35,0.7027409458304619,1
Isaiah_27,Ezekiel,0.6475831001825567,2
Isaiah_27,Isaiah_40_55,0.6468495889177482,3
Isaiah_27,Hosea,0.6466252555156662,4
Isaiah_27,Amos,0.6427962574361602,5
Isaiah_27,Jeremiah,0.6426593413290824,6
Isaiah_27,Isaiah_56_66,0.6349482957824275,7
Isaiah_27,Job,0.6157777843177474,8
Isaiah_27,Psalms,0.6056195542306427,9
Isaiah_27,1 Kings,0.6042098398128917,10
Isaiah_28,Isaiah_1_35,0.7131672895189387,1
Isaiah_28,Isaiah_40_55,0.6458104347425216,2
Isaiah_28,Isaiah_56_66,0.6436299330403081,3
Isaiah_28,Jeremiah,0.6390279531084081,4
Isaiah_28,Ezekiel,0.633653870956213,5
Isaiah_28,Amos,0.6314111641583648,6
Isaiah_28,Job,0.6282200834186443,7
Isaiah_28,Hosea,0.6233270839084273,8
Isaiah_28,Proverbs,0.6113998983306401,9
Isaiah_28,Psalms,0.6102657945183698,10
Isaiah_29,Isaiah_1_35,0.7375025046921297,1
Isaiah_29,Isaiah_56_66,0.6782957316448898,2
Isaiah_29,Isaiah_40_55,0.6772386046084425,3
Isaiah_29,Ezekiel,0.6737880208342806,4
Isaiah_29,Jeremiah,0.6702110494850188,5
Isaiah_29,Hosea,0.6599911457238137,6
Isaiah_29,Amos,0.6470130751257698,7
Isaiah_29,Job,0.6349059104555193,8
