feature_class,feature_variant,doc_id,neighbor_doc_id,similarity,rank
char,char3,Isaiah_62,Poetic/Wisdom,0.8460003009294003,2
char,char3,Isaiah_62,Narrative,0.798764009514876,3
char,char3,Isaiah_63,Poetic/Wisdom,0.8684817846315923,1
char,char3,Isaiah_63,Prophetic,0.8566497634951458,2
char,char3,Isaiah_63,Narrative,0.8312198891853239,3
char,char3,Isaiah_64,Poetic/Wisdom,0.7755279021899,1
char,char3,Isaiah_64,Prophetic,0.7423721051791975,2
char,char3,Isaiah_64,Narrative,0.7017440437319291,3
char,char3,Isaiah_65,Prophetic,0.8624913801786781,1
char,char3,Isaiah_65,Poetic/Wisdom,0.840205499846705,2
char,char3,Isaiah_65,Narrative,0.7916649277738786,3
char,char3,Isaiah_66,Prophetic,0.8897566390069056,1
char,char3,Isaiah_66,Poetic/Wisdom,0.8634017105982729,2
char,char3,Isaiah_66,Narrative,0.8333038008762559,3
char,char4,Isaiah_1,Prophetic,0.7004831870305074,1
char,char4,Isaiah_1,Poetic/Wisdom,0.6562650252468437,2
char,char4,Isaiah_1,Narrative,0.6041732431945637,3
char,char4,Isaiah_2,Prophetic,0.7222604468049693,1
char,char4,Isaiah_2,Poetic/Wisdom,0.6563081683601604,2
char,char4,Isaiah_2,Narrative,0.6418719229933503,3
char,char4,Isaiah_3,Prophetic,0.7597379992635528,1
char,char4,Isaiah_3,Narrative,0.6867753036811602,2
char,char4,Isaiah_3,Poetic/Wisdom,0.6838431068191569,3
char,char4,Isaiah_4,Prophetic,0.565394179366874,1
char,char4,Isaiah_4,Poetic/Wisdom,0.506373942729564,2
char,char4,Isaiah_4,Narrative,0.4938234629748418,3
char,char4,Isaiah_5,Prophetic,0.7539155061915838,1
char,char4,Isaiah_5,Poetic/Wisdom,0.6964293220334999,2
char,char4,Isaiah_5,Narrative,0.6585717472510244,3
char,char4,Isaiah_6,Prophetic,0.6207099617856934,1
char,char4,Isaiah_6,Narrative,0.5997785590264754,2
char,char4,Isaiah_6,Poetic/Wisdom,0.5854636851392159,3
char,char4,Isaiah_7,Prophetic,0.7077288160669295,1
char,char4,Isaiah_7,Narrative,0.6577653617072701,2
char,char4,Isaiah_7,Poetic/Wisdom,0.6205619763960027,3
char,char4,Isaiah_8,Prophetic,0.6877681895195444,1
char,char4,Isaiah_8,Narrative,0.6304557417962979,2
char,char4,Isaiah_8,Poetic/Wisdom,0.6163862379811983,3
char,char4,Isaiah_9,Prophetic,0.7438825378197669,1
char,char4,Isaiah_9,Poetic/Wisdom,0.7004890675664965,2
char,char4,Isaiah_9,Narrative,0.6740335344359161,3
char,char4,Isaiah_10,Prophetic,0.7708827055034715,1
char,char4,Isaiah_10,Poetic/Wisdom,0.7123673079466275,2
char,char4,Isaiah_10,Narrative,0.6831030686127957,3
char,char4,Isaiah_11,Prophetic,0.7294982138896509,1
char,char4,Isaiah_11,Poetic/Wisdom,0.6542869487198028,2
char,char4,Isaiah_11,Narrative,0.6394469050229309,3
char,char4,Isaiah_12,Poetic/Wisdom,0.4771293883561913,1
char,char4,Isaiah_12,Prophetic,0.44903274434694634,2
char,char4,Isaiah_12,Narrative,0.390610663925855,3
char,char4,Isaiah_13,Prophetic,0.754749166065529,1
char,char4,Isaiah_13,Poetic/Wisdom,0.6803349133119714,2
char,char4,Isaiah_13,Narrative,0.6180852500145374,3
