pc,dimension,eigenvalue,prop_variance,pct_variance,cumulative_prop_variance,cumulative_pct_variance
PC263,263,7.178545644498122e-11,9.533261148071877e-14,9.533261148071876e-12,0.9999999999993933,99.99999999993932
PC264,264,5.883326376815353e-11,7.81318243932982e-14,7.81318243932982e-12,0.9999999999994714,99.99999999994714
PC265,265,4.868882105996801e-11,6.465978892426031e-14,6.465978892426031e-12,0.999999999999536,99.9999999999536
PC266,266,3.8698538082149894e-11,5.1392480852788714e-14,5.139248085278871e-12,0.9999999999995874,99.99999999995875
PC267,267,3.672483113908396e-11,4.8771356094401014e-14,4.877135609440101e-12,0.9999999999996363,99.99999999996363
PC268,268,3.226857320285048e-11,4.285335086699932e-14,4.285335086699932e-12,0.9999999999996791,99.99999999996791
PC269,269,2.915283853530169e-11,3.8715589024305035e-14,3.871558902430504e-12,0.9999999999997178,99.99999999997178
PC270,270,2.7553854747793068e-11,3.6592104578742456e-14,3.659210457874246e-12,0.9999999999997544,99.99999999997544
PC271,271,2.4362744275714224e-11,3.235424206602155e-14,3.2354242066021553e-12,0.9999999999997867,99.99999999997867
PC272,272,2.3443139917872893e-11,3.1132987938742225e-14,3.113298793874223e-12,0.9999999999998179,99.9999999999818
PC273,273,2.1157518893482518e-11,2.8097634652699232e-14,2.8097634652699232e-12,0.999999999999846,99.9999999999846
PC274,274,1.6867838633216777e-11,2.240084811848178e-14,2.240084811848178e-12,0.9999999999998684,99.99999999998684
PC275,275,1.3048847442486802e-11,1.7329146669969194e-14,1.7329146669969195e-12,0.9999999999998858,99.99999999998857
PC276,276,1.252177193268076e-11,1.6629179193467147e-14,1.6629179193467148e-12,0.9999999999999023,99.99999999999022
PC277,277,1.1663433591810377e-11,1.54892876385264e-14,1.5489287638526399e-12,0.9999999999999178,99.99999999999179
PC278,278,9.253598633338694e-12,1.2288975608683526e-14,1.2288975608683527e-12,0.9999999999999302,99.99999999999302
PC279,279,6.699556841047129e-12,8.89715383937202e-15,8.897153839372019e-13,0.999999999999939,99.9999999999939
PC280,280,6.294385670222422e-12,8.359077915302023e-15,8.359077915302023e-13,0.9999999999999474,99.99999999999474
PC281,281,5.543255141596737e-12,7.361560613010277e-15,7.361560613010276e-13,0.9999999999999547,99.99999999999547
PC282,282,5.189734177796485e-12,6.892077261349914e-15,6.892077261349914e-13,0.9999999999999616,99.99999999999616
PC283,283,4.4034042147948914e-12,5.847814362277413e-15,5.847814362277414e-13,0.9999999999999675,99.99999999999675
PC284,284,3.5609004257694704e-12,4.728951428644716e-15,4.728951428644715e-13,0.9999999999999722,99.99999999999723
PC285,285,3.319983071322782e-12,4.40900806284566e-15,4.4090080628456607e-13,0.9999999999999766,99.99999999999766
