pc,dimension,eigenvalue,prop_variance,pct_variance,cumulative_prop_variance,cumulative_pct_variance
PC177,177,1.073175233533981e-17,1.9983947563757069e-19,1.9983947563757068e-17,1,100
PC178,178,1.0612188689955601e-17,1.9761304183139582e-19,1.9761304183139582e-17,1,100
PC179,179,1.0571269476886054e-17,1.9685107176091697e-19,1.96851071760917e-17,1,100
PC180,180,1.0273063350038814e-17,1.9129807778948311e-19,1.912980777894831e-17,1,100
PC181,181,9.908541365191467e-18,1.8451019450313688e-19,1.8451019450313686e-17,1,100
PC182,182,9.530711093842054e-18,1.774744932544389e-19,1.774744932544389e-17,1,100
PC183,183,9.305611621612644e-18,1.7328284224619793e-19,1.7328284224619794e-17,1,100
PC184,184,9.189299533320259e-18,1.711169567497428e-19,1.7111695674974282e-17,1,100
PC185,185,8.293049529555047e-18,1.5442759184492555e-19,1.5442759184492554e-17,1,100
PC186,186,8.260366935962378e-18,1.5381899856379595e-19,1.5381899856379595e-17,1,100
PC187,187,8.119542329604885e-18,1.511966574388824e-19,1.511966574388824e-17,1,100
PC188,188,8.086691627455394e-18,1.5058493375324887e-19,1.5058493375324888e-17,1,100
PC189,189,7.89560645892087e-18,1.4702667423617932e-19,1.4702667423617934e-17,1,100
PC190,190,7.577666634546586e-18,1.4110621261892505e-19,1.4110621261892505e-17,1,100
PC191,191,7.354211831762449e-18,1.369451875391691e-19,1.3694518753916909e-17,1,100
PC192,192,7.198033883361717e-18,1.3403694680277256e-19,1.3403694680277256e-17,1,100
