PC1,PC2,doc_id,book,chapter,section
-0.00734095310436452,-3.84266097629272e-4,Ezekiel_27,Ezekiel,27,Ezekiel
-0.008183440442565925,-0.0050771441955495275,Ezekiel_28,Ezekiel,28,Ezekiel
-0.009385923923963226,-0.004731527092451204,Ezekiel_29,Ezekiel,29,Ezekiel
-0.011546013321862518,-0.005438355256612684,Ezekiel_30,Ezekiel,30,Ezekiel
-0.006883014050081273,-0.00324437004800719,Ezekiel_31,Ezekiel,31,Ezekiel
-0.01779312658494483,-0.013499755703363911,Ezekiel_32,Ezekiel,32,Ezekiel
-0.002822601465615897,-0.004450442688707575,Ezekiel_33,Ezekiel,33,Ezekiel
-0.013402500686077339,-0.0022436784552432145,Ezekiel_34,Ezekiel,34,Ezekiel
0.002365843249621933,-0.0025519575279220794,Ezekiel_35,Ezekiel,35,Ezekiel
-0.008603923316873095,-0.0017832986843115538,Ezekiel_36,Ezekiel,36,Ezekiel
-0.014391956509267332,9.058119950754887e-4,Ezekiel_37,Ezekiel,37,Ezekiel
-0.00318395138276621,0.0038761806210108624,Ezekiel_38,Ezekiel,38,Ezekiel
-0.015297022176011895,-0.005020237812685832,Ezekiel_39,Ezekiel,39,Ezekiel
-0.023628189799516666,0.007954336917629517,Ezekiel_40,Ezekiel,40,Ezekiel
-0.024113156819013163,0.0041489086735037985,Ezekiel_41,Ezekiel,41,Ezekiel
-0.014670218866113758,-0.00319140448720845,Ezekiel_42,Ezekiel,42,Ezekiel
-0.02094085562409046,-0.0043443785603503255,Ezekiel_43,Ezekiel,43,Ezekiel
-0.012631940043585652,-0.008502375517532256,Ezekiel_44,Ezekiel,44,Ezekiel
-0.012161590372747829,-0.0033593547314208698,Ezekiel_45,Ezekiel,45,Ezekiel
-0.009636912778763187,-0.008599311216022918,Ezekiel_46,Ezekiel,46,Ezekiel
-0.009292521134978995,-0.0021578732440543755,Ezekiel_47,Ezekiel,47,Ezekiel
-0.015966563545494476,0.0029600468224939692,Ezekiel_48,Ezekiel,48,Ezekiel
-0.009728685119726228,0.0013799161102905236,Hosea_1,Hosea,1,Hosea
-0.0018720772030813284,0.006866945094553693,Hosea_2,Hosea,2,Hosea
-0.0015132323184213498,0.007201285514031614,Hosea_3,Hosea,3,Hosea
-0.004449348122565504,-0.005648974946085033,Hosea_4,Hosea,4,Hosea
-0.0011378387963380083,3.503352381174365e-4,Hosea_5,Hosea,5,Hosea
0.0025858158142899757,-5.489344433158708e-4,Hosea_6,Hosea,6,Hosea
-0.007024842544347394,-0.007297248053627311,Hosea_7,Hosea,7,Hosea
-8.73098044994353e-5,-0.005894756279532524,Hosea_8,Hosea,8,Hosea
-0.008573579360015088,-0.01281039633982227,Hosea_9,Hosea,9,Hosea
0.0016350962923796818,-0.007535223934614463,Hosea_10,Hosea,10,Hosea
-0.007359038232124438,-0.006223761911581855,Hosea_11,Hosea,11,Hosea
0.0034970554929434515,0.004403788976448825,Hosea_12,Hosea,12,Hosea
-0.003905285947911645,-0.006253282585252339,Hosea_13,Hosea,13,Hosea
0.0026015720464685646,-0.006803593460689596,Hosea_14,Hosea,14,Hosea
0.003106438672248514,0.0012810684023184188,Isaiah_1,Isaiah,1,Isaiah_1_35
-0.011609682670128397,-0.00649012269357167,Isaiah_2,Isaiah,2,Isaiah_1_35
-0.017052903201426158,-3.6826731671651887e-4,Isaiah_3,Isaiah,3,Isaiah_1_35
-8.192102289908895e-5,-6.492290246360543e-4,Isaiah_4,Isaiah,4,Isaiah_1_35
-0.0041677078422177405,-2.1782755625077838e-4,Isaiah_5,Isaiah,5,Isaiah_1_35
-0.006596604214432157,0.008293523614216845,Isaiah_6,Isaiah,6,Isaiah_1_35
-0.005963675831514412,-7.158340098606797e-4,Isaiah_7,Isaiah,7,Isaiah_1_35
-0.0018464798293099734,0.0029072345091438064,Isaiah_8,Isaiah,8,Isaiah_1_35
-0.00654726642477073,-0.004876243140681534,Isaiah_9,Isaiah,9,Isaiah_1_35
-0.0016634561030132058,-0.0016526987116513145,Isaiah_10,Isaiah,10,Isaiah_1_35
-0.016179415432602397,-0.00916805543054437,Isaiah_11,Isaiah,11,Isaiah_1_35
0.013632817864223873,-0.004341415118780708,Isaiah_12,Isaiah,12,Isaiah_1_35
-0.009326735859294395,-0.009794402744673898,Isaiah_13,Isaiah,13,Isaiah_1_35
-0.004173951941090504,-0.00483663501167343,Isaiah_14,Isaiah,14,Isaiah_1_35
-0.00349360300648514,-0.007276870065067501,Isaiah_15,Isaiah,15,Isaiah_1_35
-0.0013912059017867314,-0.007238046330105693,Isaiah_16,Isaiah,16,Isaiah_1_35
-0.0038573623724391273,-0.007552416715486489,Isaiah_17,Isaiah,17,Isaiah_1_35
-0.00901786185290724,-0.001272435505311945,Isaiah_18,Isaiah,18,Isaiah_1_35
-0.016336689597449498,-0.007135017711005306,Isaiah_19,Isaiah,19,Isaiah_1_35
-0.0021885307437442586,0.010378192024454086,Isaiah_20,Isaiah,20,Isaiah_1_35
6.183739249186545e-4,0.0010030514390414102,Isaiah_21,Isaiah,21,Isaiah_1_35
-0.002059260529179297,9.38719992363373e-4,Isaiah_22,Isaiah,22,Isaiah_1_35
0.0028407947408351456,-0.0018166645537906476,Isaiah_23,Isaiah,23,Isaiah_1_35
-0.012848059666819485,-0.013371470772763449,Isaiah_24,Isaiah,24,Isaiah_1_35
0.0022743126243197193,-0.0074982444062665415,Isaiah_25,Isaiah,25,Isaiah_1_35
0.00240900256000599,-0.010208986068003774,Isaiah_26,Isaiah,26,Isaiah_1_35
-0.0037034895155336274,-0.004348343274427816,Isaiah_27,Isaiah,27,Isaiah_1_35
0.00498919465896998,0.0010648136086201113,Isaiah_28,Isaiah,28,Isaiah_1_35
7.135293761758681e-4,4.207289552439296e-4,Isaiah_29,Isaiah,29,Isaiah_1_35
-0.002124266055850967,-0.004011669385802808,Isaiah_30,Isaiah,30,Isaiah_1_35
-3.752763552477987e-4,-0.004349119298511191,Isaiah_31,Isaiah,31,Isaiah_1_35
0.0011730305061082025,-0.004019095861489422,Isaiah_32,Isaiah,32,Isaiah_1_35
0.005216570469991576,-0.009619703936642137,Isaiah_33,Isaiah,33,Isaiah_1_35
-0.01309611175850387,-0.0067788259629033044,Isaiah_34,Isaiah,34,Isaiah_1_35
-0.010192720765505665,-0.007586169755897224,Isaiah_35,Isaiah,35,Isaiah_1_35
-0.0027343488997477283,0.008852831596736995,Isaiah_36,Isaiah,36,Isaiah_36_39
-0.004594702512091515,0.007095118941893105,Isaiah_37,Isaiah,37,Isaiah_36_39
0.0031680523536372586,-0.0018761878996473697,Isaiah_38,Isaiah,38,Isaiah_36_39
-0.00842639872859729,0.005143264874352978,Isaiah_39,Isaiah,39,Isaiah_36_39
-5.828147798207182e-4,-0.0048559127999798935,Isaiah_40,Isaiah,40,Isaiah_40_55
-0.005957269142491062,-0.002747712520586042,Isaiah_41,Isaiah,41,Isaiah_40_55
6.300780543346504e-4,-0.002264563071793545,Isaiah_42,Isaiah,42,Isaiah_40_55
0.0034262464114742258,-0.002281421407016298,Isaiah_43,Isaiah,43,Isaiah_40_55
0.002666787174607581,-9.50320387712789e-4,Isaiah_44,Isaiah,44,Isaiah_40_55
7.363171197036963e-4,-0.004864245556818484,Isaiah_45,Isaiah,45,Isaiah_40_55
0.006890963684952642,0.005382183078659688,Isaiah_46,Isaiah,46,Isaiah_40_55
0.007157975135630958,-0.004531672848628756,Isaiah_47,Isaiah,47,Isaiah_40_55
8.039063379093103e-4,0.00182895240768552,Isaiah_48,Isaiah,48,Isaiah_40_55
-0.00283514469520289,-0.004490436857612696,Isaiah_49,Isaiah,49,Isaiah_40_55
0.009419419426283044,-0.004462020589183212,Isaiah_50,Isaiah,50,Isaiah_40_55
-0.0016551311527985403,-0.0035933592885277954,Isaiah_51,Isaiah,51,Isaiah_40_55
0.0037896775931280666,-0.009903082689233208,Isaiah_52,Isaiah,52,Isaiah_40_55
0.012201862529699284,0.005296362961477358,Isaiah_53,Isaiah,53,Isaiah_40_55
0.004296804691284677,-0.006596817017607407,Isaiah_54,Isaiah,54,Isaiah_40_55
0.009493314525770211,0.0014761426126924883,Isaiah_55,Isaiah,55,Isaiah_40_55
0.0036716868160295703,-0.0015284811977587809,Isaiah_56,Isaiah,56,Isaiah_56_66
0.007400369311835978,0.003950040527414479,Isaiah_57,Isaiah,57,Isaiah_56_66
0.0034211917974875717,1.4154517392163857e-4,Isaiah_58,Isaiah,58,Isaiah_56_66
0.005869392352145121,0.0013524491246677671,Isaiah_59,Isaiah,59,Isaiah_56_66
-0.006305019101455211,-0.012695674610428418,Isaiah_60,Isaiah,60,Isaiah_56_66
-0.0062160149559497635,-0.0121788030954864,Isaiah_61,Isaiah,61,Isaiah_56_66
