doc_id,neighbor_doc_id,similarity,rank,author,author_code,short_name,chapter_title,target_book,target_chapter,target_header,mosiah_priority,mosiah_priority_label
OC-5,Alma_22,0.9453264768926798,4,Oliver Cowdery,OC,OC-5,"Letter to WW Phelps, Letter 5, March 1835. LDS Messenger and Advocate Vol 1, No 6",Alma,22,Alma 22,MP-1,MP-1_Mosiah_Alma_Helaman
OC-5,Alma_27,0.9400460700210651,5,Oliver Cowdery,OC,OC-5,"Letter to WW Phelps, Letter 5, March 1835. LDS Messenger and Advocate Vol 1, No 6",Alma,27,Alma 27,MP-1,MP-1_Mosiah_Alma_Helaman
OC-5,Mosiah_18,0.938271781459336,6,Oliver Cowdery,OC,OC-5,"Letter to WW Phelps, Letter 5, March 1835. LDS Messenger and Advocate Vol 1, No 6",Mosiah,18,Mosiah 18,MP-1,MP-1_Mosiah_Alma_Helaman
OC-5,1_Nephi_15,0.9364875062053071,7,Oliver Cowdery,OC,OC-5,"Letter to WW Phelps, Letter 5, March 1835. LDS Messenger and Advocate Vol 1, No 6",1 Nephi,15,1 Nephi 15,MP-3,MP-3_1Nephi_to_WordsOfMormon
OC-5,Mosiah_23,0.9352064622446273,8,Oliver Cowdery,OC,OC-5,"Letter to WW Phelps, Letter 5, March 1835. LDS Messenger and Advocate Vol 1, No 6",Mosiah,23,Mosiah 23,MP-1,MP-1_Mosiah_Alma_Helaman
OC-5,3_Nephi_1,0.9338889495030296,9,Oliver Cowdery,OC,OC-5,"Letter to WW Phelps, Letter 5, March 1835. LDS Messenger and Advocate Vol 1, No 6",3 Nephi,1,3 Nephi 1,MP-2,MP-2_3Nephi_to_Moroni
OC-5,Alma_30,0.9333416274877138,10,Oliver Cowdery,OC,OC-5,"Letter to WW Phelps, Letter 5, March 1835. LDS Messenger and Advocate Vol 1, No 6",Alma,30,Alma 30,MP-1,MP-1_Mosiah_Alma_Helaman
OC-5,Mosiah_29,0.9324249947487048,11,Oliver Cowdery,OC,OC-5,"Letter to WW Phelps, Letter 5, March 1835. LDS Messenger and Advocate Vol 1, No 6",Mosiah,29,Mosiah 29,MP-1,MP-1_Mosiah_Alma_Helaman
OC-5,Alma_17,0.9323538115001693,12,Oliver Cowdery,OC,OC-5,"Letter to WW Phelps, Letter 5, March 1835. LDS Messenger and Advocate Vol 1, No 6",Alma,17,Alma 17,MP-1,MP-1_Mosiah_Alma_Helaman
OC-5,Alma_10,0.930876045547535,13,Oliver Cowdery,OC,OC-5,"Letter to WW Phelps, Letter 5, March 1835. LDS Messenger and Advocate Vol 1, No 6",Alma,10,Alma 10,MP-1,MP-1_Mosiah_Alma_Helaman
OC-5,3_Nephi_5,0.930004984645148,14,Oliver Cowdery,OC,OC-5,"Letter to WW Phelps, Letter 5, March 1835. LDS Messenger and Advocate Vol 1, No 6",3 Nephi,5,3 Nephi 5,MP-2,MP-2_3Nephi_to_Moroni
OC-5,Mosiah_24,0.9299167965240864,15,Oliver Cowdery,OC,OC-5,"Letter to WW Phelps, Letter 5, March 1835. LDS Messenger and Advocate Vol 1, No 6",Mosiah,24,Mosiah 24,MP-1,MP-1_Mosiah_Alma_Helaman
OC-5,Ether_8,0.9286166843700866,16,Oliver Cowdery,OC,OC-5,"Letter to WW Phelps, Letter 5, March 1835. LDS Messenger and Advocate Vol 1, No 6",Ether,8,Ether 8,MP-2,MP-2_3Nephi_to_Moroni
OC-5,Alma_9,0.927154877960276,17,Oliver Cowdery,OC,OC-5,"Letter to WW Phelps, Letter 5, March 1835. LDS Messenger and Advocate Vol 1, No 6",Alma,9,Alma 9,MP-1,MP-1_Mosiah_Alma_Helaman
OC-5,Alma_50,0.9262072073596865,18,Oliver Cowdery,OC,OC-5,"Letter to WW Phelps, Letter 5, March 1835. LDS Messenger and Advocate Vol 1, No 6",Alma,50,Alma 50,MP-1,MP-1_Mosiah_Alma_Helaman
OC-5,2_Nephi_9,0.9260903177357414,19,Oliver Cowdery,OC,OC-5,"Letter to WW Phelps, Letter 5, March 1835. LDS Messenger and Advocate Vol 1, No 6",2 Nephi,9,2 Nephi 9,MP-3,MP-3_1Nephi_to_WordsOfMormon
OC-5,Helaman_16,0.9252884780488903,20,Oliver Cowdery,OC,OC-5,"Letter to WW Phelps, Letter 5, March 1835. LDS Messenger and Advocate Vol 1, No 6",Helaman,16,Helaman 16,MP-1,MP-1_Mosiah_Alma_Helaman
OC-6,2_Nephi_27,0.9605670397008614,1,Oliver Cowdery,OC,OC-6,"Letter to WW Phelps, Letter 6, April 1835. LDS Messenger and Advocate Vol 1, No 7",2 Nephi,27,2 Nephi 27,MP-3,MP-3_1Nephi_to_WordsOfMormon
OC-6,1_Nephi_22,0.9548889061214929,2,Oliver Cowdery,OC,OC-6,"Letter to WW Phelps, Letter 6, April 1835. LDS Messenger and Advocate Vol 1, No 7",1 Nephi,22,1 Nephi 22,MP-3,MP-3_1Nephi_to_WordsOfMormon
OC-6,Mosiah_3,0.9537141861932927,3,Oliver Cowdery,OC,OC-6,"Letter to WW Phelps, Letter 6, April 1835. LDS Messenger and Advocate Vol 1, No 7",Mosiah,3,Mosiah 3,MP-1,MP-1_Mosiah_Alma_Helaman
OC-6,Alma_37,0.9486774594899846,4,Oliver Cowdery,OC,OC-6,"Letter to WW Phelps, Letter 6, April 1835. LDS Messenger and Advocate Vol 1, No 7",Alma,37,Alma 37,MP-1,MP-1_Mosiah_Alma_Helaman
OC-6,Alma_45,0.9469326908100543,5,Oliver Cowdery,OC,OC-6,"Letter to WW Phelps, Letter 6, April 1835. LDS Messenger and Advocate Vol 1, No 7",Alma,45,Alma 45,MP-1,MP-1_Mosiah_Alma_Helaman
OC-6,Mormon_8,0.9459856332637647,6,Oliver Cowdery,OC,OC-6,"Letter to WW Phelps, Letter 6, April 1835. LDS Messenger and Advocate Vol 1, No 7",Mormon,8,Mormon 8,MP-2,MP-2_3Nephi_to_Moroni
OC-6,Mosiah_27,0.9447004670529853,7,Oliver Cowdery,OC,OC-6,"Letter to WW Phelps, Letter 6, April 1835. LDS Messenger and Advocate Vol 1, No 7",Mosiah,27,Mosiah 27,MP-1,MP-1_Mosiah_Alma_Helaman
OC-6,2_Nephi_28,0.9427769786028993,8,Oliver Cowdery,OC,OC-6,"Letter to WW Phelps, Letter 6, April 1835. LDS Messenger and Advocate Vol 1, No 7",2 Nephi,28,2 Nephi 28,MP-3,MP-3_1Nephi_to_WordsOfMormon
OC-6,Ether_4,0.9418744452094338,9,Oliver Cowdery,OC,OC-6,"Letter to WW Phelps, Letter 6, April 1835. LDS Messenger and Advocate Vol 1, No 7",Ether,4,Ether 4,MP-2,MP-2_3Nephi_to_Moroni
OC-6,2_Nephi_25,0.938880070929966,10,Oliver Cowdery,OC,OC-6,"Letter to WW Phelps, Letter 6, April 1835. LDS Messenger and Advocate Vol 1, No 7",2 Nephi,25,2 Nephi 25,MP-3,MP-3_1Nephi_to_WordsOfMormon
OC-6,3_Nephi_20,0.9388393588218782,11,Oliver Cowdery,OC,OC-6,"Letter to WW Phelps, Letter 6, April 1835. LDS Messenger and Advocate Vol 1, No 7",3 Nephi,20,3 Nephi 20,MP-2,MP-2_3Nephi_to_Moroni
OC-6,Mosiah_7,0.9385450306718691,12,Oliver Cowdery,OC,OC-6,"Letter to WW Phelps, Letter 6, April 1835. LDS Messenger and Advocate Vol 1, No 7",Mosiah,7,Mosiah 7,MP-1,MP-1_Mosiah_Alma_Helaman
