source_doc,target_doc,similarity,rank,source_corpus,source_book,source_chapter,source_header,author,author_code,short_name,chapter_original,chapter_title,target_corpus,target_source,target_book,target_chapter,target_section,target_genre,target_header
SR-11,DC_1835__056__section_58,0.9214875149017627,4,JSO,Sidney Rigdon,11,"Series of 14 articles from LDS Messenger and Advocate (Vol I, 2: Kirtland, OH November 1834) titled Millenium",Sidney Rigdon,SR,SR-11,3-9,"Series of 14 articles from LDS Messenger and Advocate (Vol I, 2: Kirtland, OH November 1834) titled Millenium",DC,DC_1835,Doctrine and Covenants,58,Section 58,Modern_Scripture,Section 58 (1835 Doctrine and Covenants)
SR-11,Jeremiah_8,0.9184199484701857,5,JSO,Sidney Rigdon,11,"Series of 14 articles from LDS Messenger and Advocate (Vol I, 2: Kirtland, OH November 1834) titled Millenium",Sidney Rigdon,SR,SR-11,3-9,"Series of 14 articles from LDS Messenger and Advocate (Vol I, 2: Kirtland, OH November 1834) titled Millenium",KJV,KJV,Jeremiah,8,Jeremiah,Prophetic,Jeremiah 8
SR-11,DC_1835__102__section_107,0.9180035545626345,6,JSO,Sidney Rigdon,11,"Series of 14 articles from LDS Messenger and Advocate (Vol I, 2: Kirtland, OH November 1834) titled Millenium",Sidney Rigdon,SR,SR-11,3-9,"Series of 14 articles from LDS Messenger and Advocate (Vol I, 2: Kirtland, OH November 1834) titled Millenium",DC,DC_1835,Doctrine and Covenants,107,Section 107,Modern_Scripture,Section 107 (1835 Doctrine and Covenants)
SR-11,2_Nephi_2,0.9175129917547127,7,JSO,Sidney Rigdon,11,"Series of 14 articles from LDS Messenger and Advocate (Vol I, 2: Kirtland, OH November 1834) titled Millenium",Sidney Rigdon,SR,SR-11,3-9,"Series of 14 articles from LDS Messenger and Advocate (Vol I, 2: Kirtland, OH November 1834) titled Millenium",BOM,BOM_1830,2 Nephi,2,MP-3,Modern_Scripture,2 Nephi 2
SR-11,BOC_1833__Book_of_Commandments_59,0.9151112214749946,8,JSO,Sidney Rigdon,11,"Series of 14 articles from LDS Messenger and Advocate (Vol I, 2: Kirtland, OH November 1834) titled Millenium",Sidney Rigdon,SR,SR-11,3-9,"Series of 14 articles from LDS Messenger and Advocate (Vol I, 2: Kirtland, OH November 1834) titled Millenium",BOC,BOC_1833,Book of Commandments,59,BOC_59,Modern_Revelation,"[edit] A Revelation to the elders of the church, assembled on the land of Zion, given August, 1831."
SR-11,DC_1835__096__section_101,0.9112767019005691,9,JSO,Sidney Rigdon,11,"Series of 14 articles from LDS Messenger and Advocate (Vol I, 2: Kirtland, OH November 1834) titled Millenium",Sidney Rigdon,SR,SR-11,3-9,"Series of 14 articles from LDS Messenger and Advocate (Vol I, 2: Kirtland, OH November 1834) titled Millenium",DC,DC_1835,Doctrine and Covenants,101,Section 101,Modern_Scripture,Section 101 (1835 Doctrine and Covenants)
SR-11,DC_1835__066__section_68,0.9104895357729902,10,JSO,Sidney Rigdon,11,"Series of 14 articles from LDS Messenger and Advocate (Vol I, 2: Kirtland, OH November 1834) titled Millenium",Sidney Rigdon,SR,SR-11,3-9,"Series of 14 articles from LDS Messenger and Advocate (Vol I, 2: Kirtland, OH November 1834) titled Millenium",DC,DC_1835,Doctrine and Covenants,68,Section 68,Modern_Scripture,Section 68 (1835 Doctrine and Covenants)
SR-11,DC_1835__074__section_76,0.9100394996011559,11,JSO,Sidney Rigdon,11,"Series of 14 articles from LDS Messenger and Advocate (Vol I, 2: Kirtland, OH November 1834) titled Millenium",Sidney Rigdon,SR,SR-11,3-9,"Series of 14 articles from LDS Messenger and Advocate (Vol I, 2: Kirtland, OH November 1834) titled Millenium",DC,DC_1835,Doctrine and Covenants,76,Section 76,Modern_Scripture,Section 76 (1835 Doctrine and Covenants)
SR-11,DC_1835__018__section_20,0.9092235809180053,12,JSO,Sidney Rigdon,11,"Series of 14 articles from LDS Messenger and Advocate (Vol I, 2: Kirtland, OH November 1834) titled Millenium",Sidney Rigdon,SR,SR-11,3-9,"Series of 14 articles from LDS Messenger and Advocate (Vol I, 2: Kirtland, OH November 1834) titled Millenium",DC,DC_1835,Doctrine and Covenants,20,Section 20,Modern_Scripture,Section 20 (1835 Doctrine and Covenants)
SR-11,2 Kings_10,0.9089821166292238,13,JSO,Sidney Rigdon,11,"Series of 14 articles from LDS Messenger and Advocate (Vol I, 2: Kirtland, OH November 1834) titled Millenium",Sidney Rigdon,SR,SR-11,3-9,"Series of 14 articles from LDS Messenger and Advocate (Vol I, 2: Kirtland, OH November 1834) titled Millenium",KJV,KJV,2 Kings,10,2 Kings,Narrative,2 Kings 10
