source_doc,short_name,source_header,target_corpus,votes,weighted_votes,mean_similarity,max_similarity,pct_votes,weighted_pct_votes
SR-3,SR-3,"Series of 14 articles from Evening and Morning Star (Vol II, 15: Kirtland, OH December 1833) titled Millenium",BOM,6,5.344909212517497,0.8908182020862496,0.9058214743538192,0.3,0.29856505060010274
SR-3,SR-3,"Series of 14 articles from Evening and Morning Star (Vol II, 15: Kirtland, OH December 1833) titled Millenium",DC,5,4.493001397718387,0.8986002795436774,0.9135931890204755,0.25,0.25097773157952047
SR-3,SR-3,"Series of 14 articles from Evening and Morning Star (Vol II, 15: Kirtland, OH December 1833) titled Millenium",BOC,1,0.8905984617125513,0.8905984617125513,0.8905984617125513,0.05,0.049748567134284334
SR-30,SR-30,"LDS Messenger and Advocate, Vol 2, No 4, Kirtland Ohio, January 1836",BOM,7,6.170076688520094,0.881439526931442,0.897398655319433,0.35,0.3494455954490341
SR-30,SR-30,"LDS Messenger and Advocate, Vol 2, No 4, Kirtland Ohio, January 1836",KJV,7,6.112456247174601,0.8732080353106573,0.8906198927743211,0.35,0.34618223091525524
SR-30,SR-30,"LDS Messenger and Advocate, Vol 2, No 4, Kirtland Ohio, January 1836",DC,4,3.587656153102995,0.8969140382757488,0.9136519231178443,0.2,0.20318882632691676
SR-30,SR-30,"LDS Messenger and Advocate, Vol 2, No 4, Kirtland Ohio, January 1836",BOC,2,1.7865699857918966,0.8932849928959483,0.9086062664713753,0.1,0.1011833473087939
SR-31,SR-31,"LDS Messenger and Advocate, Vol 2, No 5, Kirtland Ohio, February 1836",BOM,13,11.891001459393783,0.9146924199533679,0.9281301172685608,0.65,0.64964946949101
SR-31,SR-31,"LDS Messenger and Advocate, Vol 2, No 5, Kirtland Ohio, February 1836",DC,4,3.680829855259153,0.9202074638147882,0.9418899228131985,0.2,0.20109737358300592
SR-31,SR-31,"LDS Messenger and Advocate, Vol 2, No 5, Kirtland Ohio, February 1836",KJV,2,1.8237800913821762,0.9118900456910881,0.9174154322146961,0.1,0.0996398640501975
SR-31,SR-31,"LDS Messenger and Advocate, Vol 2, No 5, Kirtland Ohio, February 1836",BOC,1,0.9081077807290876,0.9081077807290876,0.9081077807290876,0.05,0.04961329287578665
SR-32,SR-32,"LDS Messenger and Advocate, Vol 2, No 6, Kirtland Ohio, March 1836",DC,9,8.055673362858615,0.8950748180954017,0.9106464242893706,0.45,0.44971100621737603
SR-32,SR-32,"LDS Messenger and Advocate, Vol 2, No 6, Kirtland Ohio, March 1836",BOM,5,4.464386429652942,0.8928772859305883,0.9050573123955761,0.25,0.2492260575855799
SR-32,SR-32,"LDS Messenger and Advocate, Vol 2, No 6, Kirtland Ohio, March 1836",KJV,3,2.697081971926328,0.8990273239754427,0.9072445570046718,0.15,0.15056561913718466
SR-32,SR-32,"LDS Messenger and Advocate, Vol 2, No 6, Kirtland Ohio, March 1836",BOC,3,2.6958584767987244,0.8986194922662414,0.9109251502332747,0.15,0.15049731705985941
SR-33,SR-33,"LDS Messenger and Advocate, Vol 2, No 7, Kirtland Ohio, April 1836",BOM,12,10.973714958488207,0.9144762465406839,0.9307944691034646,0.6,0.5990861060009706
SR-33,SR-33,"LDS Messenger and Advocate, Vol 2, No 7, Kirtland Ohio, April 1836",DC,4,3.6858465894997297,0.9214616473749324,0.935149321546086,0.2,0.2012207797426292
SR-33,SR-33,"LDS Messenger and Advocate, Vol 2, No 7, Kirtland Ohio, April 1836",BOC,2,1.8464031154893918,0.9232015577446959,0.9292165752445577,0.1,0.1008003631177777
SR-33,SR-33,"LDS Messenger and Advocate, Vol 2, No 7, Kirtland Ohio, April 1836",KJV,2,1.8114605756759041,0.9057302878379521,0.9090304917279213,0.1,0.09889275113862253
SR-34,SR-34,"LDS Messenger and Advocate, Vol 2, No 9, Kirtland Ohio, June 1836",DC,10,9.12034967339484,0.912034967339484,0.9408294007831479,0.5,0.49987749176881546
SR-34,SR-34,"LDS Messenger and Advocate, Vol 2, No 9, Kirtland Ohio, June 1836",BOM,8,7.303968608732426,0.9129960760915532,0.9273890804244433,0.4,0.40032341289961704
SR-34,SR-34,"LDS Messenger and Advocate, Vol 2, No 9, Kirtland Ohio, June 1836",BOC,2,1.8208514316009958,0.9104257158004979,0.9118323762443461,0.1,0.09979909533156757
SR-35,SR-35,"Latter-day Glory. LDS Messenger and Advocate, Vol 3, No 2, Kirtland Ohio, November 1836",BOM,12,11.086410647163099,0.9238675539302582,0.9347697013539357,0.6,0.5981620869599175
SR-35,SR-35,"Latter-day Glory. LDS Messenger and Advocate, Vol 3, No 2, Kirtland Ohio, November 1836",DC,5,4.661896665941384,0.9323793331882768,0.9505069933090038,0.25,0.25153044818924747
SR-35,SR-35,"Latter-day Glory. LDS Messenger and Advocate, Vol 3, No 2, Kirtland Ohio, November 1836",KJV,2,1.8418791186386465,0.9209395593193233,0.9236171013618658,0.1,0.09937772400796925
SR-35,SR-35,"Latter-day Glory. LDS Messenger and Advocate, Vol 3, No 2, Kirtland Ohio, November 1836",BOC,1,0.9439381623252903,0.9439381623252903,0.9439381623252903,0.05,0.05092974084286582
SR-36,SR-36,"Saints and the World. LDS Messenger and Advocate, Vol 3, No 3, Kirtland Ohio, December 1836",DC,9,8.381871017362617,0.9313190019291795,0.9564061138091191,0.45,0.45173374355146584
SR-36,SR-36,"Saints and the World. LDS Messenger and Advocate, Vol 3, No 3, Kirtland Ohio, December 1836",BOM,6,5.559949273188175,0.9266582121980291,0.9357931446200124,0.3,0.29964869346365036
SR-36,SR-36,"Saints and the World. LDS Messenger and Advocate, Vol 3, No 3, Kirtland Ohio, December 1836",KJV,3,2.7519916759133713,0.9173305586377904,0.9179459335342204,0.15,0.14831622908628178
SR-36,SR-36,"Saints and the World. LDS Messenger and Advocate, Vol 3, No 3, Kirtland Ohio, December 1836",BOC,2,1.861080460799629,0.9305402303998145,0.9339876195600895,0.1,0.10030133389860209
SR-37,SR-37,"Persecution. LDS Messenger and Advocate, Vol 3, No 4, Kirtland Ohio, January 1837",BOM,15,13.839693981148391,0.9226462654098928,0.9372891022596873,0.75,0.7486026101131109
SR-37,SR-37,"Persecution. LDS Messenger and Advocate, Vol 3, No 4, Kirtland Ohio, January 1837",DC,4,3.71485271743661,0.9287131793591525,0.9451790081863922,0.2,0.20094002398079552
