source_doc,short_name,source_header,target_corpus,target_book,votes,weighted_votes,mean_similarity,max_similarity,pct_votes,weighted_pct_votes
SR-18,SR-18,"Series of 9 articles from Evening and Morning Star (Vol II, 24: Kirtland, OH September 1834) titled Gospel",BOM,3 Nephi,2,1.8812751594030939,0.9406375797015469,0.9442383719457899,0.1,0.09992644797083663
SR-18,SR-18,"Series of 9 articles from Evening and Morning Star (Vol II, 24: Kirtland, OH September 1834) titled Gospel",DC,Doctrine and Covenants,2,1.8704310903697632,0.9352155451848816,0.9378894839950698,0.1,0.09935045073054187
SR-18,SR-18,"Series of 9 articles from Evening and Morning Star (Vol II, 24: Kirtland, OH September 1834) titled Gospel",BOM,Helaman,1,0.9341023061937324,0.9341023061937324,0.9341023061937324,0.05,0.04961609418630854
SR-19,SR-19,"Series of 9 articles from LDS Messenger and Advocate (Vol I, 2: Kirtland, OH November 1834) titled Gospel",BOM,Alma,6,5.321354117895193,0.8868923529825321,0.8994537257012362,0.3,0.3007511161757218
SR-19,SR-19,"Series of 9 articles from LDS Messenger and Advocate (Vol I, 2: Kirtland, OH November 1834) titled Gospel",BOM,Helaman,3,2.6375110833858812,0.8791703611286271,0.8849871532734224,0.15,0.1490662686000489
SR-19,SR-19,"Series of 9 articles from LDS Messenger and Advocate (Vol I, 2: Kirtland, OH November 1834) titled Gospel",DC,Doctrine and Covenants,3,2.629289438132973,0.876429812710991,0.8783358907908735,0.15,0.14860159947038176
SR-19,SR-19,"Series of 9 articles from LDS Messenger and Advocate (Vol I, 2: Kirtland, OH November 1834) titled Gospel",BOM,Mosiah,2,1.7883433984959367,0.8941716992479684,0.9059824861801317,0.1,0.10107319702599989
SR-19,SR-19,"Series of 9 articles from LDS Messenger and Advocate (Vol I, 2: Kirtland, OH November 1834) titled Gospel",KJV,2 Kings,2,1.7776348627096397,0.8888174313548198,0.892545050866489,0.1,0.10046797436669481
SR-19,SR-19,"Series of 9 articles from LDS Messenger and Advocate (Vol I, 2: Kirtland, OH November 1834) titled Gospel",KJV,2 Samuel,1,0.9083703902559834,0.9083703902559834,0.9083703902559834,0.05,0.051339076993906566
SR-19,SR-19,"Series of 9 articles from LDS Messenger and Advocate (Vol I, 2: Kirtland, OH November 1834) titled Gospel",BOC,Book of Commandments,1,0.8880613091409963,0.8880613091409963,0.8880613091409963,0.05,0.05019125283514684
SR-19,SR-19,"Series of 9 articles from LDS Messenger and Advocate (Vol I, 2: Kirtland, OH November 1834) titled Gospel",KJV,1 Kings,1,0.8720958884767378,0.8720958884767378,0.8720958884767378,0.05,0.04928892271792286
