corpus_id,doc_id,feature_set,neighbor_section,top5_count,similarity_sum,weighted_similarity_sum
KJV,Psalms_18,char4,Psalms,6,3.9088938460094442,10.940201629927166
KJV,Psalms_18,function_words,2 Samuel,2,1.794893932654878,8.974469663274391
KJV,Psalms_18,pos3,Psalms,8,5.320988816432936,14.75140689337751
KJV,Psalms_18,word3,Psalms,8,4.129506638033766,10.402987146180127
KJV,Psalms_19,char3,Psalms,4,2.411882289054321,7.8114744107245215
KJV,Psalms_19,char4,Psalms,6,4.138674518603129,12.538648671020688
KJV,Psalms_19,function_words,Isaiah_1_35,5,3.343337221021649,8.34596048431538
KJV,Psalms_19,pos3,Psalms,4,2.2850496422976954,8.06382941735844
KJV,Psalms_19,word3,Psalms,10,6.245418870736696,18.983537205002385
KJV,Psalms_2,char3,Isaiah_1_35,2,1.6406781751527642,6.577406802635431
KJV,Psalms_2,char4,Psalms,5,3.720837980214469,11.273977215050746
KJV,Psalms_2,function_words,Jeremiah,3,2.755635794180845,9.204853702497129
KJV,Psalms_2,pos3,Psalms,7,4.66951980596684,16.112043217758725
KJV,Psalms_2,word3,Psalms,7,4.814835914944133,14.605908573866104
KJV,Psalms_20,char3,Psalms,5,2.777222701541559,8.388039195665886
KJV,Psalms_20,char4,Psalms,9,5.394568791761828,16.72819097094774
KJV,Psalms_20,function_words,1 Kings,2,1.6649217542653043,5.828258171625493
KJV,Psalms_20,pos3,Psalms,3,2.0849034052503144,7.675885890100282
KJV,Psalms_20,word3,Psalms,10,5.950251767251982,18.038312539079264
KJV,Psalms_21,char3,Psalms,5,2.9783169360105357,11.629239182445263
KJV,Psalms_21,char4,Psalms,6,4.305054423288844,14.15404584426714
KJV,Psalms_21,function_words,Psalms,6,3.8592752243056583,9.692701050090333
KJV,Psalms_21,pos3,Psalms,7,4.410452069301309,14.824000490396125
KJV,Psalms_21,word3,Psalms,10,5.223069628648145,15.829666115436567
KJV,Psalms_22,char3,Isaiah_40_55,3,2.2640197241508804,7.9616872357406265
KJV,Psalms_22,char4,Psalms,5,3.5932712726029585,10.892209157341782
KJV,Psalms_22,function_words,Psalms,4,2.9338787159360886,9.825576466308052
KJV,Psalms_22,pos3,Isaiah_1_35,2,1.4355123958435734,5.914234161373125
KJV,Psalms_22,word3,Psalms,8,4.7365371056630465,13.867418050769011
KJV,Psalms_23,char3,Psalms,8,4.540856245694748,14.314604876579248
KJV,Psalms_23,char4,Psalms,6,4.0974209677142515,12.762378735394636
KJV,Psalms_23,function_words,Psalms,8,5.446229171881963,16.40196087979789
KJV,Psalms_23,pos3,Psalms,6,4.691811228077526,15.101882454209496
KJV,Psalms_23,word3,Psalms,7,5.077368469755646,15.855603769476593
KJV,Psalms_24,char3,Jeremiah,3,2.106238898869001,8.436764712448634
KJV,Psalms_24,char4,Psalms,5,3.817960433773841,11.57952727171282
KJV,Psalms_24,function_words,Isaiah_1_35,3,2.2148153542476834,5.7622498013538666
KJV,Psalms_24,pos3,Psalms,4,2.609222378266298,9.200158891072864
KJV,Psalms_24,word3,Psalms,5,4.486266645557612,13.507561330396813
KJV,Psalms_25,char3,Psalms,5,2.9772823970436035,11.57133459838224
KJV,Psalms_25,char4,Psalms,6,4.172029355650427,13.646262054760287
KJV,Psalms_25,function_words,Psalms,8,5.695055393633554,18.258425350402508
KJV,Psalms_25,pos3,Psalms,5,3.2555170930234487,9.833026642482718
KJV,Psalms_25,word3,Psalms,10,5.480759280485553,16.679906631854685
KJV,Psalms_26,char3,Psalms,6,3.2059490758126215,8.404213948967026
KJV,Psalms_26,char4,Psalms,5,3.6521412033138563,11.070689326433612
KJV,Psalms_26,function_words,Psalms,8,4.958524170890107,12.995911918425458
KJV,Psalms_26,pos3,Psalms,6,3.9051033630450753,12.418189655016649
KJV,Psalms_26,word3,Psalms,10,5.188554431390337,15.803599377124844
KJV,Psalms_27,char3,Psalms,5,2.893013868320031,8.16908394576826
KJV,Psalms_27,char4,Psalms,7,4.654828949906716,14.08230254465515
KJV,Psalms_27,function_words,Psalms,9,5.694569594877216,19.083782508032606
KJV,Psalms_27,pos3,Psalms,5,3.128871537511831,9.454419576429089
KJV,Psalms_27,word3,Psalms,9,5.622705860410839,16.706048283181318
KJV,Psalms_28,char3,Psalms,7,4.571166197933568,16.68738259782384
KJV,Psalms_28,char4,Psalms,8,5.228698401228745,16.83346738038626
KJV,Psalms_28,function_words,Ezekiel,2,1.3743582358392197,6.871791179196098
KJV,Psalms_28,pos3,Psalms,5,3.3212889439032853,10.063406016673571
KJV,Psalms_28,word3,Psalms,10,5.336667971029627,16.32873467904966
KJV,Psalms_29,char3,Psalms,10,6.5409999242815795,19.83216010238989
KJV,Psalms_29,char4,Psalms,10,6.607695277921891,20.085762809216313
KJV,Psalms_29,function_words,Psalms,8,5.676603142889582,17.15764486499817
KJV,Psalms_29,pos3,Psalms,7,4.566868092411715,12.373851922845894
KJV,Psalms_29,word3,Psalms,8,5.7027850306350905,16.608185882558363
KJV,Psalms_3,char3,Psalms,6,3.4322213641224235,10.992058251152393
KJV,Psalms_3,char4,Psalms,6,4.197528502083973,13.120432700826026
KJV,Psalms_3,function_words,Psalms,10,6.479449280655578,19.57057069708474
KJV,Psalms_3,pos3,Psalms,7,4.801763923987766,13.741650297287912
KJV,Psalms_3,word3,Psalms,10,5.487816720902005,16.73391153974316
KJV,Psalms_30,char3,Psalms,8,4.782106878631854,15.83846824267428
KJV,Psalms_30,char4,Psalms,9,5.530838744687157,16.898845230154734
KJV,Psalms_30,function_words,Psalms,8,5.806747057075482,18.971820456038607
KJV,Psalms_30,pos3,Psalms,5,2.6991827628429554,8.23472733869107
KJV,Psalms_30,word3,Psalms,10,5.35328477998919,16.355525739013764
KJV,Psalms_31,char3,Psalms,7,4.454914379425332,15.231544210013826
KJV,Psalms_31,char4,Psalms,9,5.621423006775342,15.977286219434546
KJV,Psalms_31,function_words,Psalms,10,7.278062127703865,22.036457242757585
KJV,Psalms_31,pos3,Psalms,6,3.5813127613777027,10.84674451760248
KJV,Psalms_31,word3,Psalms,10,5.73513270986563,17.401427023489955
KJV,Psalms_32,char3,Jeremiah,2,1.2584343757579863,4.303477871518803
KJV,Psalms_32,char4,Psalms,5,3.602043346279453,10.923334517314961
KJV,Psalms_32,function_words,Isaiah_40_55,4,2.6800157333837773,9.459884799391572
KJV,Psalms_32,pos3,Psalms,4,2.3058884026575615,6.394408344403124
KJV,Psalms_32,word3,Psalms,7,4.770287895272273,14.212247439800976
